 
Número de fotones = 100000.000000
Tamaño del paquete = 0.00250 [cm] 
***Parámetros del tejido*** 
Coef. de Absorcion: 12.200000
Coef. de Esparcimiento: 173.500000
Coef. de Anisotropia: 0.930000
Indice de Refracción: 1.500000
La última fila esta desbordada. Ignorarla
r [cm] 	 Fsph [1/cm2] 	 Fcyl [1/cm2] 	 Fpla [1/cm2]
0.22875 	 3.681e-02 	 8.387e-03 	 4.090e-03 
0.23125 	 3.396e-02 	 7.823e-03 	 3.955e-03 
0.23375 	 3.127e-02 	 7.473e-03 	 3.572e-03 
0.23625 	 2.930e-02 	 6.931e-03 	 3.226e-03 
0.23875 	 2.759e-02 	 6.409e-03 	 3.095e-03 
0.24125 	 2.508e-02 	 5.912e-03 	 2.887e-03 
0.24375 	 2.352e-02 	 5.569e-03 	 2.744e-03 
0.24625 	 2.143e-02 	 5.137e-03 	 2.527e-03 
0.24875 	 1.995e-02 	 4.829e-03 	 2.363e-03 
0.25125 	 1.871e-02 	 4.442e-03 	 2.337e-03 
0.25375 	 1.719e-02 	 4.258e-03 	 2.211e-03 
0.25625 	 1.589e-02 	 3.953e-03 	 2.021e-03 
0.25875 	 1.464e-02 	 3.616e-03 	 1.883e-03 
0.26125 	 1.399e-02 	 3.456e-03 	 1.750e-03 
0.26375 	 1.273e-02 	 3.187e-03 	 1.640e-03 
0.26625 	 1.212e-02 	 2.950e-03 	 1.470e-03 
0.26875 	 1.108e-02 	 2.623e-03 	 1.546e-03 
0.27125 	 1.021e-02 	 2.520e-03 	 1.418e-03 
0.27375 	 9.182e-03 	 2.298e-03 	 1.264e-03 
0.27625 	 8.667e-03 	 2.162e-03 	 1.180e-03 
0.27875 	 8.009e-03 	 2.064e-03 	 1.075e-03 
0.28125 	 7.601e-03 	 2.007e-03 	 1.036e-03 
0.28375 	 6.969e-03 	 1.801e-03 	 1.016e-03 
0.28625 	 6.454e-03 	 1.719e-03 	 9.525e-04 
0.28875 	 6.204e-03 	 1.616e-03 	 8.592e-04 
0.29125 	 5.665e-03 	 1.480e-03 	 8.736e-04 
0.29375 	 5.353e-03 	 1.395e-03 	 7.718e-04 
0.29625 	 5.016e-03 	 1.305e-03 	 7.509e-04 
0.29875 	 4.660e-03 	 1.220e-03 	 7.010e-04 
0.30125 	 4.276e-03 	 1.080e-03 	 6.690e-04 
0.30375 	 3.982e-03 	 1.069e-03 	 6.542e-04 
0.30625 	 3.760e-03 	 9.371e-04 	 5.613e-04 
0.30875 	 3.377e-03 	 8.970e-04 	 4.520e-04 
0.31125 	 3.123e-03 	 8.281e-04 	 4.420e-04 
0.31375 	 2.973e-03 	 7.754e-04 	 4.337e-04 
0.31625 	 2.770e-03 	 7.128e-04 	 3.858e-04 
0.31875 	 2.554e-03 	 6.838e-04 	 3.576e-04 
0.32125 	 2.369e-03 	 6.030e-04 	 3.596e-04 
0.32375 	 2.177e-03 	 5.315e-04 	 3.515e-04 
0.32625 	 2.098e-03 	 5.371e-04 	 3.591e-04 
0.32875 	 1.849e-03 	 4.883e-04 	 3.094e-04 
0.33125 	 1.758e-03 	 4.339e-04 	 2.868e-04 
0.33375 	 1.594e-03 	 4.343e-04 	 2.672e-04 
0.33625 	 1.457e-03 	 3.728e-04 	 2.468e-04 
0.33875 	 1.389e-03 	 3.535e-04 	 2.247e-04 
0.34125 	 1.290e-03 	 3.743e-04 	 1.749e-04 
0.34375 	 1.245e-03 	 3.645e-04 	 1.863e-04 
0.34625 	 1.114e-03 	 3.113e-04 	 1.916e-04 
0.34875 	 9.974e-04 	 2.983e-04 	 1.549e-04 
0.35125 	 9.232e-04 	 2.836e-04 	 1.628e-04 
0.35375 	 8.876e-04 	 2.400e-04 	 1.324e-04 
0.35625 	 8.355e-04 	 2.221e-04 	 1.283e-04 
0.35875 	 7.797e-04 	 2.269e-04 	 1.457e-04 
0.36125 	 6.869e-04 	 2.087e-04 	 1.041e-04 
0.36375 	 6.476e-04 	 1.940e-04 	 1.008e-04 
0.36625 	 6.134e-04 	 1.969e-04 	 1.273e-04 
0.36875 	 5.698e-04 	 1.889e-04 	 9.393e-05 
0.37125 	 5.232e-04 	 1.575e-04 	 7.282e-05 
0.37375 	 5.311e-04 	 1.501e-04 	 7.863e-05 
0.37625 	 4.461e-04 	 1.326e-04 	 8.289e-05 
0.37875 	 4.357e-04 	 1.133e-04 	 7.629e-05 
0.38125 	 3.941e-04 	 1.345e-04 	 7.346e-05 
0.38375 	 3.515e-04 	 1.107e-04 	 7.371e-05 
0.38625 	 3.458e-04 	 1.062e-04 	 6.090e-05 
