 
Número de fotones = 100000.000000
Tamaño del paquete = 0.00250 [cm] 
***Parámetros del tejido*** 
Coef. de Absorcion: 12.200000
Coef. de Esparcimiento: 173.500000
Coef. de Anisotropia: 0.930000
Indice de Refracción: 1.500000
La última fila esta desbordada. Ignorarla
r [cm] 	 Fsph [1/cm2] 	 Fcyl [1/cm2] 	 Fpla [1/cm2]
0.00125 	 5.055e+04 	 1.942e+02 	 4.175e+00 
0.00375 	 5.558e+03 	 6.178e+01 	 2.795e+00 
0.00625 	 1.974e+03 	 3.548e+01 	 2.290e+00 
0.00875 	 9.875e+02 	 2.411e+01 	 1.958e+00 
0.01125 	 5.945e+02 	 1.812e+01 	 1.721e+00 
0.01375 	 3.914e+02 	 1.405e+01 	 1.533e+00 
0.01625 	 2.754e+02 	 1.145e+01 	 1.377e+00 
0.01875 	 2.052e+02 	 9.524e+00 	 1.237e+00 
0.02125 	 1.551e+02 	 7.982e+00 	 1.136e+00 
0.02375 	 1.224e+02 	 6.905e+00 	 1.029e+00 
0.02625 	 9.746e+01 	 5.957e+00 	 9.504e-01 
0.02875 	 7.970e+01 	 5.207e+00 	 8.684e-01 
0.03125 	 6.570e+01 	 4.567e+00 	 7.979e-01 
0.03375 	 5.498e+01 	 4.034e+00 	 7.413e-01 
0.03625 	 4.621e+01 	 3.582e+00 	 6.844e-01 
0.03875 	 3.952e+01 	 3.209e+00 	 6.329e-01 
0.04125 	 3.381e+01 	 2.865e+00 	 5.889e-01 
0.04375 	 2.925e+01 	 2.589e+00 	 5.505e-01 
0.04625 	 2.542e+01 	 2.348e+00 	 5.083e-01 
0.04875 	 2.217e+01 	 2.121e+00 	 4.744e-01 
0.05125 	 1.932e+01 	 1.920e+00 	 4.396e-01 
0.05375 	 1.734e+01 	 1.744e+00 	 4.088e-01 
0.05625 	 1.512e+01 	 1.591e+00 	 3.805e-01 
0.05875 	 1.352e+01 	 1.450e+00 	 3.600e-01 
