 
Número de fotones = 100000.000000
Tamaño del paquete = 0.00250 [cm] 
***Parámetros del tejido*** 
Coef. de Absorcion: 35.000000
Coef. de Esparcimiento: 450.000000
Coef. de Anisotropia: 0.800000
Indice de Refracción: 1.330000
La última fila esta desbordada. Ignorarla
r [cm] 	 Fsph [1/cm2] 	 Fcyl [1/cm2] 	 Fpla [1/cm2]
0.00125 	 5.310e+04 	 2.039e+02 	 3.481e+00 
0.00375 	 6.254e+03 	 6.490e+01 	 2.026e+00 
0.00625 	 2.248e+03 	 3.512e+01 	 1.447e+00 
0.00875 	 1.117e+03 	 2.200e+01 	 1.069e+00 
0.01125 	 6.319e+02 	 1.467e+01 	 8.082e-01 
0.01375 	 3.852e+02 	 1.010e+01 	 6.115e-01 
0.01625 	 2.459e+02 	 7.132e+00 	 4.667e-01 
0.01875 	 1.617e+02 	 5.124e+00 	 3.572e-01 
0.02125 	 1.093e+02 	 3.669e+00 	 2.739e-01 
0.02375 	 7.428e+01 	 2.675e+00 	 2.084e-01 
0.02625 	 5.162e+01 	 1.964e+00 	 1.594e-01 
0.02875 	 3.609e+01 	 1.436e+00 	 1.218e-01 
0.03125 	 2.548e+01 	 1.052e+00 	 9.257e-02 
0.03375 	 1.805e+01 	 7.783e-01 	 7.152e-02 
0.03625 	 1.291e+01 	 5.825e-01 	 5.458e-02 
0.03875 	 9.207e+00 	 4.288e-01 	 4.235e-02 
0.04125 	 6.640e+00 	 3.195e-01 	 3.264e-02 
0.04375 	 4.827e+00 	 2.399e-01 	 2.491e-02 
0.04625 	 3.474e+00 	 1.790e-01 	 1.898e-02 
0.04875 	 2.529e+00 	 1.324e-01 	 1.430e-02 
0.05125 	 1.823e+00 	 9.710e-02 	 1.107e-02 
0.05375 	 1.336e+00 	 7.364e-02 	 8.454e-03 
0.05625 	 9.803e-01 	 5.625e-02 	 6.409e-03 
0.05875 	 7.251e-01 	 4.144e-02 	 4.772e-03 
0.06125 	 5.267e-01 	 3.127e-02 	 3.697e-03 
0.06375 	 3.914e-01 	 2.326e-02 	 2.840e-03 
0.06625 	 2.845e-01 	 1.737e-02 	 2.296e-03 
0.06875 	 2.077e-01 	 1.296e-02 	 1.737e-03 
0.07125 	 1.529e-01 	 9.807e-03 	 1.252e-03 
0.07375 	 1.167e-01 	 7.445e-03 	 9.830e-04 
0.07625 	 8.445e-02 	 5.653e-03 	 7.834e-04 
0.07875 	 6.359e-02 	 4.277e-03 	 5.888e-04 
0.08125 	 4.746e-02 	 3.269e-03 	 4.614e-04 
0.08375 	 3.427e-02 	 2.494e-03 	 3.229e-04 
0.08625 	 2.659e-02 	 1.938e-03 	 2.263e-04 
0.08875 	 2.075e-02 	 1.431e-03 	 1.849e-04 
0.09125 	 1.452e-02 	 1.037e-03 	 1.338e-04 
0.09375 	 1.061e-02 	 8.480e-04 	 1.194e-04 
0.09625 	 7.490e-03 	 5.628e-04 	 9.017e-05 
0.09875 	 6.064e-03 	 4.013e-04 	 6.326e-05 
0.10125 	 4.049e-03 	 2.617e-04 	 6.336e-05 
0.10375 	 2.976e-03 	 2.134e-04 	 3.938e-05 
0.10625 	 2.424e-03 	 1.675e-04 	 2.396e-05 
0.10875 	 1.573e-03 	 1.279e-04 	 1.807e-05 
0.11125 	 1.185e-03 	 9.777e-05 	 1.523e-05 
0.11375 	 9.100e-04 	 6.785e-05 	 9.464e-06 
0.11625 	 6.766e-04 	 4.858e-05 	 8.098e-06 
