 
Número de fotones = 100000.000000
Tamaño del paquete = 0.00250 [cm] 
***Parámetros del tejido*** 
Coef. de Absorcion: 35.000000
Coef. de Esparcimiento: 173.500000
Coef. de Anisotropia: 0.930000
Indice de Refracción: 1.500000
La última fila esta desbordada. Ignorarla
r [cm] 	 Fsph [1/cm2] 	 Fcyl [1/cm2] 	 Fpla [1/cm2]
0.00125 	 4.914e+04 	 1.801e+02 	 2.969e+00 
0.00375 	 5.083e+03 	 5.114e+01 	 1.667e+00 
0.00625 	 1.709e+03 	 2.647e+01 	 1.207e+00 
0.00875 	 8.029e+02 	 1.643e+01 	 9.318e-01 
0.01125 	 4.478e+02 	 1.124e+01 	 7.444e-01 
0.01375 	 2.767e+02 	 8.109e+00 	 6.072e-01 
0.01625 	 1.843e+02 	 6.089e+00 	 4.950e-01 
0.01875 	 1.259e+02 	 4.636e+00 	 4.158e-01 
0.02125 	 8.930e+01 	 3.616e+00 	 3.459e-01 
0.02375 	 6.577e+01 	 2.862e+00 	 2.922e-01 
0.02625 	 4.901e+01 	 2.285e+00 	 2.469e-01 
0.02875 	 3.713e+01 	 1.855e+00 	 2.109e-01 
0.03125 	 2.883e+01 	 1.515e+00 	 1.807e-01 
0.03375 	 2.253e+01 	 1.237e+00 	 1.566e-01 
0.03625 	 1.766e+01 	 1.019e+00 	 1.310e-01 
0.03875 	 1.407e+01 	 8.580e-01 	 1.137e-01 
0.04125 	 1.129e+01 	 7.077e-01 	 9.679e-02 
0.04375 	 9.141e+00 	 5.902e-01 	 8.266e-02 
0.04625 	 7.428e+00 	 4.953e-01 	 7.111e-02 
0.04875 	 5.958e+00 	 4.119e-01 	 6.199e-02 
0.05125 	 4.844e+00 	 3.505e-01 	 5.349e-02 
0.05375 	 3.951e+00 	 2.925e-01 	 4.633e-02 
0.05625 	 3.291e+00 	 2.508e-01 	 4.013e-02 
0.05875 	 2.696e+00 	 2.121e-01 	 3.419e-02 
0.06125 	 2.243e+00 	 1.788e-01 	 2.986e-02 
0.06375 	 1.871e+00 	 1.519e-01 	 2.616e-02 
0.06625 	 1.557e+00 	 1.301e-01 	 2.236e-02 
0.06875 	 1.302e+00 	 1.101e-01 	 1.960e-02 
0.07125 	 1.066e+00 	 9.272e-02 	 1.688e-02 
0.07375 	 9.055e-01 	 8.006e-02 	 1.456e-02 
0.07625 	 7.614e-01 	 6.864e-02 	 1.305e-02 
0.07875 	 6.309e-01 	 5.827e-02 	 1.121e-02 
0.08125 	 5.402e-01 	 5.024e-02 	 9.628e-03 
0.08375 	 4.540e-01 	 4.236e-02 	 8.440e-03 
0.08625 	 3.809e-01 	 3.653e-02 	 7.260e-03 
0.08875 	 3.240e-01 	 3.140e-02 	 6.456e-03 
0.09125 	 2.753e-01 	 2.709e-02 	 5.665e-03 
0.09375 	 2.312e-01 	 2.316e-02 	 4.741e-03 
0.09625 	 1.964e-01 	 2.005e-02 	 4.040e-03 
0.09875 	 1.670e-01 	 1.716e-02 	 3.611e-03 
0.10125 	 1.416e-01 	 1.467e-02 	 3.079e-03 
0.10375 	 1.186e-01 	 1.282e-02 	 2.701e-03 
