 
Número de fotones = 100000.000000
Tamaño del paquete = 0.00250 [cm] 
***Parámetros del tejido*** 
Coef. de Absorcion: 12.200000
Coef. de Esparcimiento: 173.500000
Coef. de Anisotropia: 0.930000
Indice de Refracción: 1.500000
La última fila esta desbordada. Ignorarla
r [cm] 	 Fsph [1/cm2] 	 Fcyl [1/cm2] 	 Fpla [1/cm2]
0.00125 	 5.077e+04 	 1.944e+02 	 4.168e+00 
0.00375 	 5.544e+03 	 6.166e+01 	 2.784e+00 
0.00625 	 1.974e+03 	 3.535e+01 	 2.281e+00 
0.00875 	 9.959e+02 	 2.430e+01 	 1.953e+00 
0.01125 	 5.938e+02 	 1.816e+01 	 1.710e+00 
0.01375 	 3.935e+02 	 1.416e+01 	 1.520e+00 
0.01625 	 2.780e+02 	 1.150e+01 	 1.364e+00 
0.01875 	 2.034e+02 	 9.546e+00 	 1.239e+00 
0.02125 	 1.546e+02 	 8.019e+00 	 1.134e+00 
0.02375 	 1.215e+02 	 6.881e+00 	 1.038e+00 
0.02625 	 9.777e+01 	 5.976e+00 	 9.505e-01 
0.02875 	 7.990e+01 	 5.196e+00 	 8.767e-01 
0.03125 	 6.527e+01 	 4.562e+00 	 8.060e-01 
0.03375 	 5.473e+01 	 4.038e+00 	 7.465e-01 
0.03625 	 4.647e+01 	 3.580e+00 	 6.899e-01 
0.03875 	 3.958e+01 	 3.225e+00 	 6.401e-01 
0.04125 	 3.381e+01 	 2.871e+00 	 5.911e-01 
0.04375 	 2.925e+01 	 2.579e+00 	 5.500e-01 
0.04625 	 2.532e+01 	 2.339e+00 	 5.082e-01 
0.04875 	 2.202e+01 	 2.113e+00 	 4.729e-01 
0.05125 	 1.954e+01 	 1.916e+00 	 4.415e-01 
0.05375 	 1.715e+01 	 1.739e+00 	 4.126e-01 
0.05625 	 1.527e+01 	 1.580e+00 	 3.881e-01 
0.05875 	 1.345e+01 	 1.441e+00 	 3.597e-01 
0.06125 	 1.196e+01 	 1.313e+00 	 3.371e-01 
0.06375 	 1.066e+01 	 1.205e+00 	 3.120e-01 
0.06625 	 9.568e+00 	 1.100e+00 	 2.917e-01 
0.06875 	 8.587e+00 	 1.016e+00 	 2.717e-01 
0.07125 	 7.726e+00 	 9.313e-01 	 2.550e-01 
0.07375 	 6.892e+00 	 8.572e-01 	 2.389e-01 
0.07625 	 6.234e+00 	 7.848e-01 	 2.206e-01 
0.07875 	 5.594e+00 	 7.244e-01 	 2.096e-01 
0.08125 	 5.083e+00 	 6.650e-01 	 1.944e-01 
0.08375 	 4.592e+00 	 6.100e-01 	 1.813e-01 
0.08625 	 4.171e+00 	 5.624e-01 	 1.689e-01 
0.08875 	 3.780e+00 	 5.216e-01 	 1.564e-01 
0.09125 	 3.433e+00 	 4.827e-01 	 1.467e-01 
0.09375 	 3.124e+00 	 4.430e-01 	 1.376e-01 
0.09625 	 2.834e+00 	 4.100e-01 	 1.282e-01 
0.09875 	 2.567e+00 	 3.777e-01 	 1.207e-01 
0.10125 	 2.367e+00 	 3.509e-01 	 1.124e-01 
0.10375 	 2.145e+00 	 3.269e-01 	 1.064e-01 
0.10625 	 1.967e+00 	 3.028e-01 	 9.979e-02 
0.10875 	 1.813e+00 	 2.807e-01 	 9.319e-02 
0.11125 	 1.652e+00 	 2.597e-01 	 8.743e-02 
0.11375 	 1.517e+00 	 2.399e-01 	 8.144e-02 
0.11625 	 1.385e+00 	 2.213e-01 	 7.614e-02 
0.11875 	 1.261e+00 	 2.037e-01 	 7.152e-02 
0.12125 	 1.159e+00 	 1.915e-01 	 6.757e-02 
0.12375 	 1.060e+00 	 1.761e-01 	 6.291e-02 
0.12625 	 9.782e-01 	 1.643e-01 	 5.887e-02 
0.12875 	 8.920e-01 	 1.516e-01 	 5.500e-02 
0.13125 	 8.260e-01 	 1.415e-01 	 5.119e-02 
0.13375 	 7.600e-01 	 1.323e-01 	 4.840e-02 
0.13625 	 6.928e-01 	 1.222e-01 	 4.598e-02 
0.13875 	 6.369e-01 	 1.131e-01 	 4.223e-02 
0.14125 	 5.894e-01 	 1.056e-01 	 3.977e-02 
0.14375 	 5.462e-01 	 9.821e-02 	 3.727e-02 
0.14625 	 4.984e-01 	 9.051e-02 	 3.516e-02 
0.14875 	 4.581e-01 	 8.400e-02 	 3.289e-02 
0.15125 	 4.215e-01 	 7.838e-02 	 3.088e-02 
0.15375 	 3.908e-01 	 7.290e-02 	 2.888e-02 
0.15625 	 3.580e-01 	 6.770e-02 	 2.692e-02 
0.15875 	 3.314e-01 	 6.304e-02 	 2.543e-02 
0.16125 	 3.026e-01 	 5.867e-02 	 2.338e-02 
0.16375 	 2.787e-01 	 5.326e-02 	 2.244e-02 
0.16625 	 2.612e-01 	 5.057e-02 	 2.081e-02 
0.16875 	 2.406e-01 	 4.709e-02 	 1.937e-02 
0.17125 	 2.211e-01 	 4.345e-02 	 1.819e-02 
0.17375 	 2.030e-01 	 4.002e-02 	 1.691e-02 
0.17625 	 1.887e-01 	 3.793e-02 	 1.606e-02 
0.17875 	 1.735e-01 	 3.538e-02 	 1.491e-02 
0.18125 	 1.617e-01 	 3.283e-02 	 1.392e-02 
0.18375 	 1.469e-01 	 3.059e-02 	 1.308e-02 
0.18625 	 1.364e-01 	 2.810e-02 	 1.227e-02 
0.18875 	 1.260e-01 	 2.633e-02 	 1.163e-02 
0.19125 	 1.175e-01 	 2.478e-02 	 1.094e-02 
0.19375 	 1.092e-01 	 2.326e-02 	 1.018e-02 
0.19625 	 1.000e-01 	 2.140e-02 	 9.471e-03 
0.19875 	 9.189e-02 	 1.987e-02 	 8.835e-03 
0.20125 	 8.613e-02 	 1.854e-02 	 8.349e-03 
0.20375 	 7.924e-02 	 1.727e-02 	 7.699e-03 
0.20625 	 7.330e-02 	 1.596e-02 	 7.400e-03 
0.20875 	 6.778e-02 	 1.484e-02 	 6.750e-03 
0.21125 	 6.310e-02 	 1.390e-02 	 6.247e-03 
0.21375 	 5.868e-02 	 1.276e-02 	 5.899e-03 
0.21625 	 5.373e-02 	 1.202e-02 	 5.629e-03 
0.21875 	 4.961e-02 	 1.106e-02 	 5.168e-03 
