 
Número de fotones = 100000.000000
Tamaño del paquete = 0.00250 [cm] 
***Parámetros del tejido*** 
Coef. de Absorcion: 12.200000
Coef. de Esparcimiento: 450.000000
Coef. de Anisotropia: 0.800000
Indice de Refracción: 1.330000
La última fila esta desbordada. Ignorarla
r [cm] 	 Fsph [1/cm2] 	 Fcyl [1/cm2] 	 Fpla [1/cm2]
0.00125 	 5.533e+04 	 2.329e+02 	 5.563e+00 
0.00375 	 7.168e+03 	 8.920e+01 	 3.995e+00 
0.00625 	 2.898e+03 	 5.629e+01 	 3.298e+00 
0.00875 	 1.624e+03 	 4.068e+01 	 2.789e+00 
0.01125 	 1.042e+03 	 3.095e+01 	 2.369e+00 
0.01375 	 7.200e+02 	 2.422e+01 	 2.044e+00 
0.01625 	 5.160e+02 	 1.951e+01 	 1.753e+00 
0.01875 	 3.838e+02 	 1.572e+01 	 1.511e+00 
0.02125 	 2.912e+02 	 1.280e+01 	 1.303e+00 
0.02375 	 2.238e+02 	 1.045e+01 	 1.125e+00 
0.02625 	 1.746e+02 	 8.629e+00 	 9.698e-01 
0.02875 	 1.372e+02 	 7.134e+00 	 8.347e-01 
0.03125 	 1.089e+02 	 5.935e+00 	 7.226e-01 
0.03375 	 8.717e+01 	 4.947e+00 	 6.233e-01 
0.03625 	 6.977e+01 	 4.101e+00 	 5.352e-01 
0.03875 	 5.602e+01 	 3.417e+00 	 4.580e-01 
0.04125 	 4.563e+01 	 2.860e+00 	 3.968e-01 
0.04375 	 3.697e+01 	 2.401e+00 	 3.444e-01 
0.04625 	 3.016e+01 	 2.026e+00 	 2.979e-01 
0.04875 	 2.453e+01 	 1.695e+00 	 2.562e-01 
0.05125 	 2.010e+01 	 1.434e+00 	 2.196e-01 
0.05375 	 1.656e+01 	 1.207e+00 	 1.884e-01 
0.05625 	 1.371e+01 	 1.018e+00 	 1.636e-01 
0.05875 	 1.128e+01 	 8.534e-01 	 1.406e-01 
0.06125 	 9.307e+00 	 7.240e-01 	 1.231e-01 
0.06375 	 7.698e+00 	 6.149e-01 	 1.050e-01 
0.06625 	 6.382e+00 	 5.199e-01 	 9.063e-02 
0.06875 	 5.315e+00 	 4.401e-01 	 7.784e-02 
0.07125 	 4.435e+00 	 3.733e-01 	 6.651e-02 
0.07375 	 3.677e+00 	 3.182e-01 	 5.757e-02 
0.07625 	 3.063e+00 	 2.706e-01 	 5.022e-02 
0.07875 	 2.567e+00 	 2.269e-01 	 4.369e-02 
0.08125 	 2.138e+00 	 1.911e-01 	 3.768e-02 
0.08375 	 1.796e+00 	 1.641e-01 	 3.232e-02 
0.08625 	 1.501e+00 	 1.397e-01 	 2.832e-02 
0.08875 	 1.273e+00 	 1.187e-01 	 2.428e-02 
0.09125 	 1.061e+00 	 1.025e-01 	 2.058e-02 
0.09375 	 8.886e-01 	 8.594e-02 	 1.784e-02 
0.09625 	 7.483e-01 	 7.303e-02 	 1.524e-02 
