 
Número de fotones = 100000.000000
Tamaño del paquete = 0.00250 [cm] 
***Parámetros del tejido*** 
Coef. de Absorcion: 12.200000
Coef. de Esparcimiento: 173.500000
Coef. de Anisotropia: 0.930000
Indice de Refracción: 1.500000
La última fila esta desbordada. Ignorarla
r [cm] 	 Fsph [1/cm2] 	 Fcyl [1/cm2] 	 Fpla [1/cm2]
0.00125 	 5.054e+04 	 1.945e+02 	 4.172e+00 
0.00375 	 5.537e+03 	 6.160e+01 	 2.805e+00 
0.00625 	 1.979e+03 	 3.534e+01 	 2.279e+00 
0.00875 	 1.000e+03 	 2.432e+01 	 1.951e+00 
0.01125 	 5.968e+02 	 1.811e+01 	 1.718e+00 
0.01375 	 3.910e+02 	 1.409e+01 	 1.527e+00 
0.01625 	 2.784e+02 	 1.155e+01 	 1.368e+00 
0.01875 	 2.031e+02 	 9.517e+00 	 1.230e+00 
0.02125 	 1.553e+02 	 7.977e+00 	 1.134e+00 
0.02375 	 1.219e+02 	 6.828e+00 	 1.035e+00 
0.02625 	 9.791e+01 	 5.988e+00 	 9.428e-01 
0.02875 	 7.959e+01 	 5.211e+00 	 8.750e-01 
0.03125 	 6.595e+01 	 4.592e+00 	 8.003e-01 
0.03375 	 5.451e+01 	 4.030e+00 	 7.477e-01 
0.03625 	 4.610e+01 	 3.578e+00 	 6.865e-01 
0.03875 	 3.949e+01 	 3.202e+00 	 6.364e-01 
0.04125 	 3.357e+01 	 2.884e+00 	 5.910e-01 
0.04375 	 2.910e+01 	 2.584e+00 	 5.464e-01 
0.04625 	 2.560e+01 	 2.347e+00 	 5.110e-01 
0.04875 	 2.213e+01 	 2.108e+00 	 4.691e-01 
0.05125 	 1.949e+01 	 1.921e+00 	 4.423e-01 
0.05375 	 1.730e+01 	 1.734e+00 	 4.109e-01 
0.05625 	 1.513e+01 	 1.588e+00 	 3.806e-01 
0.05875 	 1.337e+01 	 1.452e+00 	 3.593e-01 
0.06125 	 1.198e+01 	 1.329e+00 	 3.343e-01 
0.06375 	 1.080e+01 	 1.210e+00 	 3.115e-01 
0.06625 	 9.623e+00 	 1.110e+00 	 2.915e-01 
0.06875 	 8.550e+00 	 1.018e+00 	 2.733e-01 
0.07125 	 7.729e+00 	 9.449e-01 	 2.537e-01 
0.07375 	 6.944e+00 	 8.628e-01 	 2.375e-01 
0.07625 	 6.182e+00 	 7.941e-01 	 2.231e-01 
0.07875 	 5.617e+00 	 7.229e-01 	 2.056e-01 
0.08125 	 5.107e+00 	 6.675e-01 	 1.923e-01 
0.08375 	 4.620e+00 	 6.131e-01 	 1.779e-01 
0.08625 	 4.152e+00 	 5.662e-01 	 1.687e-01 
0.08875 	 3.791e+00 	 5.156e-01 	 1.593e-01 
0.09125 	 3.423e+00 	 4.837e-01 	 1.471e-01 
0.09375 	 3.130e+00 	 4.441e-01 	 1.382e-01 
0.09625 	 2.828e+00 	 4.095e-01 	 1.303e-01 
0.09875 	 2.575e+00 	 3.788e-01 	 1.225e-01 
0.10125 	 2.374e+00 	 3.516e-01 	 1.143e-01 
0.10375 	 2.176e+00 	 3.281e-01 	 1.063e-01 
0.10625 	 1.974e+00 	 3.005e-01 	 1.001e-01 
0.10875 	 1.810e+00 	 2.775e-01 	 9.378e-02 
0.11125 	 1.640e+00 	 2.589e-01 	 8.657e-02 
0.11375 	 1.501e+00 	 2.374e-01 	 8.229e-02 
0.11625 	 1.366e+00 	 2.199e-01 	 7.640e-02 
0.11875 	 1.261e+00 	 2.055e-01 	 7.212e-02 
0.12125 	 1.150e+00 	 1.891e-01 	 6.717e-02 
0.12375 	 1.062e+00 	 1.766e-01 	 6.187e-02 
0.12625 	 9.731e-01 	 1.628e-01 	 5.806e-02 
0.12875 	 9.033e-01 	 1.517e-01 	 5.502e-02 
0.13125 	 8.162e-01 	 1.400e-01 	 5.170e-02 
0.13375 	 7.557e-01 	 1.316e-01 	 4.827e-02 
0.13625 	 6.943e-01 	 1.216e-01 	 4.503e-02 
